brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Fuller's Griffin Brewery,1845,Strong Ale - English,6.3,52,3.62749,2021-10-02T19:38:45+00:00,Untappd at Home,3.5,,https://untappd.com/b/fuller-s-griffin-brewery-1845/19611,https://untappd.com/user/Semelenge/checkin/1083829935
RYGR Brygghús,"SURE-STEINAR Pasjonsfrukt Surøl 4,7%",Sour - Fruited Berliner Weisse,4.7,4,3.67557,2021-07-17T21:58:36+00:00,,4,,https://untappd.com/b/rygr-brygghus-sure-steinar-pasjonsfrukt-surol-4-7/4084989,https://untappd.com/user/Semelenge/checkin/1053693518
Qvart & Homborsund Ølkompani AS,Merrefua Blonde,Belgian Blonde,6,26,3.43346,2021-06-11T16:54:59+00:00,,3.75,,https://untappd.com/b/homborsund-bryggeri-merrefua-blonde/2562099,https://untappd.com/user/Semelenge/checkin/1038373381
Qvart & Homborsund Ølkompani AS,Vesterled Trippel,Belgian Tripel,8.5,34,3.58276,2021-06-10T17:24:06+00:00,,3.5,,https://untappd.com/b/homborsund-bryggeri-vesterled-trippel/2300253,https://untappd.com/user/Semelenge/checkin/1038024243
Staatliches Hofbräuhaus München,Hofbräu Oktoberfestbier,Festbier,6.3,23,3.61253,2021-04-24T17:36:53+00:00,,4,,https://untappd.com/b/staatliches-hofbrauhaus-munchen-hofbrau-oktoberfestbier/40139,https://untappd.com/user/Semelenge/checkin/1020402994
Slakteren Brygghus,Davids Jul 2020,Brown Ale - American,4.7,,3.09453,2020-12-24T12:02:36+00:00,,2.75,,https://untappd.com/b/slakteren-brygghus-davids-jul-2020/4060193,https://untappd.com/user/Semelenge/checkin/978663287
Wettre Bryggeri AS,Passion Silly Saison,Farmhouse Ale - Saison,4.7,25,3.22541,2020-12-24T12:01:59+00:00,,2.25,,https://untappd.com/b/wettre-bryggeri-as-passion-silly-saison/1563058,https://untappd.com/user/Semelenge/checkin/978663216
LERVIG,HOLIDAY HAZE,Pale Ale - New England / Hazy,4.7,,3.6471,2020-12-24T12:01:19+00:00,,4,,https://untappd.com/b/lervig-holiday-haze/4029312,https://untappd.com/user/Semelenge/checkin/978663148
Brouwerij der Trappisten van Westmalle,Westmalle Trappist Tripel,Belgian Tripel,9.5,40,3.80757,2019-12-06T18:42:54+00:00,,4,,https://untappd.com/b/brouwerij-der-trappisten-van-westmalle-westmalle-trappist-tripel/487,https://untappd.com/user/Semelenge/checkin/838009818
Tucher Bräu,Lederer Pils,Pilsner - German,5.1,34,3.23915,2019-11-30T19:15:36+00:00,,3.5,,https://untappd.com/b/lederer-brau-lederer-premium-pils/43578,https://untappd.com/user/Semelenge/checkin/836035315
