id,Upload Date,Client Location,Client Location Accuracy,Assigned Location Name,Assigned Location Address,Assigned Location Location
582463,2015-06-06T14:45:26Z,"59.200531,9.613564",2376,,,
5296758,2018-06-09T16:42:59Z,,,,,
