Client Type,Last Application Version,Push Enabled,Client Registration Date
Android 14 samsung SM-S916B dm2q 14,2023.46.0,1,2019-05-16T14:54:24Z
Android 16 google Pixel 8 Pro husky 16,2025.30.0,1,2024-08-24T16:31:27Z
Android 16 google Pixel 9 Pro caiman 16,2026.19.1,1,2025-08-29T10:46:17Z
